student_id,age,gender,study_hours_per_week,attendance_percentage,previous_grade,extracurricular,sleep_hours,math_score,science_score,english_score,final_grade,passed
83,18,Male,8,67,57,No,9,55,57,59,57,No
84,19,Female,17,89,82,Yes,7,83,81,79,81,Yes
85,18,Male,12,79,71,No,7,71,73,69,71,Yes
86,20,Female,24,98,93,Yes,6,94,92,90,92,Yes
87,19,Male,7,64,54,No,9,52,54,56,54,No
88,18,Female,16,88,81,Yes,7,82,80,78,80,Yes
89,19,Male,11,77,69,No,8,69,71,67,69,Yes
90,20,Female,20,93,88,Yes,6,89,87,85,87,Yes
91,18,Male,15,85,77,Yes,7,78,76,74,76,Yes
92,19,Female,19,91,84,Yes,7,85,83,81,83,Yes
93,18,Male,10,73,64,No,8,62,64,66,64,Yes
94,20,Female,23,96,91,Yes,6,92,90,88,90,Yes
95,19,Male,5,57,48,No,10,45,47,49,47,No
96,18,Female,16,87,80,Yes,7,81,79,77,79,Yes
97,19,Male,13,82,74,No,7,74,76,72,74,Yes
98,20,Female,21,94,89,Yes,6,90,88,86,88,Yes
99,18,Male,9,68,58,No,8,56,58,60,58,No
100,19,Female,18,90,83,Yes,7,84,82,80,82,Yes
